comment,prediccion_transformers
creó equivocó stargate skynet,1 star
gracias canal favorito saludo suiza,5 stars
habia escuchado anuncios ma minutos youtube esperaba real,1 star
mismo decian llegar deeseek ahora ascuas,1 star
adoro canalll pone piel gallinaaaaa,5 stars
ecuación simple ser humano envejeciendo decir llenando viejos preparados afrontar ello conllevaenfermedades cuidados etc inminente uso inteligencia artificial cimientos soporten nueva,1 star
mentalidad unidos mejor si nadie,5 stars
encantan video realmente informativos,5 stars
excelente análisis gran carisma siempre agradecido labor divulgativa siempre grato entender realidad geopolítica actual tecnológica apoyo abrazo fuerte,5 stars
gracias bueno saludable,4 stars
hecho vídeo respecto aranceles trump quiere aplicar méxico canadá china unión europea,1 star
unidos consiga avance nuevas inversiones china llevará aos ventaja justo ahora,5 stars
buen dato espero bien común poniendo soga cuello toda humanidad,4 stars
ojo anuncio dicestargate star lake,1 star
pasa ia autónoma necesario configuren hacerlo según objetivos proyecto puede llagar hacerlo corto tiempo va poder controlar ser veces inteligente cualquier científico entiende sabe diferentes materia matemáticas sociales deberían pensar ia herramienta doble filo temprano tarde perderemos totalmente control si haciendo,3 stars
so experiencia profesionista permitio sonar dia hospital humanos area especialidad sistemas informacion hoy llaman inteligencia artificial ojala algun dia pudiera platicarles experiencia aos,3 stars
excelente contenido,5 stars
tres gracias trump,5 stars
despues deepseek proyecto stargate seria broma mal gusto inversores,1 star
mientras dicen dinero dicen deepseek pueden hacer ma barato fin,1 star
aun pronto ed camino largo resultados verán dentro aos mundo serum diferente junto generación humanos diferentes,5 stars
hacer és crear ia mentalidad conocimiento steve job haciendo transferencia conciencia familiares amistades persona cercanas tipo dato guardado si funciona después hacer mismo persona asi final insertárlo cuerpo sintético robothumanoide,3 stars
creo meteré buena inversión oracle nvidia,5 stars
pues viendo necesita deepseek trabajar argumento cae solo gringo van necesitar buen plan,2 stars
gracias genial,5 stars
quieren saber ase gente si roban asen cosas malas pregunta quién bijilara alós políticos corruptos ladrones responde pregunta diciendo mentiras,1 star
sé puede confiar empresarios,3 stars
si mismos gringo imprimen billetes ningun respaldo oro complican solo compren ma impresoras,1 star
alguien notó parecido scanet scainet,1 star
llegan aos tarde competencia gringo chino lideran actualmente creación patentes innovación tecnológica unidos imperio decadencia puedes ver confirmar viendo ma sienta silla presidencial,5 stars
buena informacion,4 stars
guerra perdio china va aos adelantado,1 star
suerte van necesitar digo ser pesimista sarcastico menos ponerme nivel persona desena mal tratándose china entrando nueva guerra fria cualquier cosa puede pasar,1 star
hermosa burbuja,5 stars
interesante,3 stars
paso creacion scarlet pues,1 star
si ia mejora bien mal armas nunca buenas malas empuan u cosa,1 star
do aos china vuelve super inversión musd,5 stars
excellent,5 stars
trump haciendo américa grande vez,5 stars
q bien,4 stars
pov usa internet explorer,5 stars
skynet reference,5 stars
john connor razón skynet existe,4 stars
sabiaaa ninguno tres tontosss,1 star
quiero invertir usd,1 star
trump va hacer nuevamente eeuu grande,5 stars
primero,5 stars
burbuja,3 stars
acuerdo elon musk ir cautela puede ser arma doble filo trump presidente problema quiere mejor país sabemos pudiera pasar gobierno demócrata ejemplo,1 star
sé puede confiar empresarios,3 stars
sé puede confiar empresarios,3 stars
convierte idea negocio rentable inteligencia artificial rápido fácil aprende chatgpt cero mejor curso online principiantes si comenzando usar inteligencia artificial quieres crear imágenes vox textos manera fácil sencilla barata usa creapro entra mejor curso online crecer youtube ganar dinero canal aprende conseguir clientes aprovechando máximo mundo online inteligencia artificial programa go aprende editar vídeos profesional mejor curso online suscríbete newsletter gratuita inteligencia artificial mantente día visita periódico digital inteligencia artificial entra nuevo canal privado gratuito whatsapp publico información exclusiva digo ningún lugar,5 stars
super viene ma siempre ocupe trabaje responsabilidad respeto felicidades canal diario apasionante javier gracias sv,5 stars
ve tan real wow excelente video master,5 stars
graciasse nota gusta hacesy da ma valor trabajo,5 stars
hola javier saludos chile tecnico audiovisual profesion gracias dios verdad sucede ia paso invento tv decian cine iba morir causa tv nunca asi asi cosas parte historia audiovisual siempre habra gente querra adaptarse quedaran obsoletos idea adaptarme nuevas herramientas ia saludos,1 star
hola estimado javier ahora dejaste boca abierta decimos acá méxico dejaste chiva jajaja vi video sugeriste pondré práctica saludos bendiciones,1 star
saludos bendiciones maracaibo venezuela,5 stars
probado varias ia generar video siempre termino utilizando kling creo mejores si mejor saludos,3 stars
