Comentario,Sentimiento
miren black mirror,5 stars
pregunto si bestia apocalipsis tremenda computadora cuántica independiente,5 stars
terrible,1 star
agenda 2030,5 stars
verdad,5 stars
si puedes unetele,1 star
robot,5 stars
,4 stars
revelador,5 stars
terminator,5 stars
única forma lograr equilibrio repartición alimentos q riquezas distribuyan forma equitativa i ambición poder conozca avaricia,4 stars
si tan capo ia encuentre cura cancer ahora dentro 20 años seria chiste,1 star
cambiar sistema político económico lleno desigualdad solo servirá oprimir oprimidos resto cuento,1 star
concepto bueno malo propio seres humanos ia tomará decisiones lógicas racionales ahí dónde radica peligro civilización,2 stars
ia vive ma creativo ma seguro ma integrado ma libre,3 stars
evolución así da paso nueva forma vida evolución solo desapareceremos evolución marcará dentro mile millones años sigue vida,5 stars
seres humanos entiende tecnología simplemente usa,5 stars
siempre dicho q vieron terminator,5 stars
si ia decide bajar sueldo políticos,1 star
manejando pasa frecuencia q pienso q desearía tener hacer salen video relacionados casualidad,3 stars
james cameron visionario grande época,5 stars
ia tomó control adictos redes,4 stars
ia resultado tanta demanda constante tecnología facilismo parte ser humano caímos propia trampa dolerá zafarse,1 star
van aniquilar,5 stars
inteligencia artificial estupidez natural cosa rara,1 star
hace tiempo vengo sosteniendo conocimiento ia debiese ser materia colegios,4 stars
embargo ia sigue siendo peligro pronto decidirá mismos,2 stars
robot cada casa luego ia decida humanos utiles serum final,3 stars
da miedo puede supere ia entiendo insistencia ponerle control,2 stars
momento llama singularidad tecnológica tomemos decisión darle darle poder tomar decisiones,5 stars
ia jamás podrá hacer ordenamiento algoritmo humano programe ordene,1 star
ia maneja hace tiempo juega,5 stars
seres humanos principalmente sobramos planeta,3 stars
acuerdo ia decide ia propone ser humano sigue decidiendo elegir propuestas ia,3 stars
descubrir nuevos medicamento si actuales buenos salud siendo siempre tiempos antiguos natural mejor ser humano crisis ecológica q élites provocararon,5 stars
futuro serum tecnocracia liderada ia socialismo comunismo salario universal,5 stars
ia recomiendas usar bien completa favor,5 stars
habla,5 stars
prácticamente quiere decir ia ser vida,5 stars
ia estafa computadoras siempre operadores lógicos éstos construyen algoritmos pueden tomar decisiones,5 stars
ia puede ir laburar,2 stars
completamente falso pura mercadotecnia ia va producir dinero pocos empresarios inflando ia incluso mala propaganda conviene,1 star
inventar ia si ia manipulada intereses poderosos influyentes socialmente tema podemos mirar lado,5 stars
ia ayuda ahorrar energía creo correcto comentario,4 stars
poderosos élite decidieron frenar menos desarrolle tan acelerado venía inicio,5 stars
cuestión intereses defiende ia trabaja sabiendo podemos predecir movimientos saber beneficiará perjudicará decisiones unfin,3 stars
malo,1 star
sr fantaseando ve emocionado ia información brinda ser humano funciona,5 stars
creado sólo dios volviendo través ia momento podrá castigar premiar sancionar porte mal dar cada corresponde,1 star
kit ven buscarme veia hombre tele hace 30 años,5 stars
i,5 stars
ia,3 stars
ia,3 stars
ia gracias,5 stars
ia,3 stars
ia,3 stars
ia,3 stars
ia,3 stars
ia ia,3 stars
ia ia,3 stars
ia,3 stars
i gracias,5 stars
ia,3 stars
ia,3 stars
ia,3 stars
ia,3 stars
ía,3 stars
ia ia ia,3 stars
ia,3 stars
ia,3 stars
ia,3 stars
i i i necesito mejorar vista,3 stars
ia,3 stars
loa,3 stars
ia,3 stars
ia,3 stars
ia,3 stars
ia,3 stars
ia,3 stars
ia,3 stars
ia,3 stars
ia,3 stars
ia,3 stars
ia,3 stars
ia,3 stars
ia,3 stars
ia,3 stars
,4 stars
ia,3 stars
ia,3 stars
ia,3 stars
ia,3 stars
ia,3 stars
ia,3 stars
ia,3 stars
ia,3 stars
ia,3 stars
ia,3 stars
ia,3 stars
ambición riqueza poder destruirá mundo mejor herramienta fin,5 stars
toda tecnologías excepto armas dependerá intención use,3 stars
,4 stars
utilizó alterar elecciones país,3 stars
,4 stars
,4 stars
ahora imaginemos puede ingresar cerebro humano alterar pensamientos ende acciones,1 star
depende uso,3 stars
buena,4 stars
chat gpt ayuda,4 stars
azteca noticias siendo azteca noticias,5 stars
buena dependiendo cómo utilices,4 stars
buena demasiado buena,3 stars
gracias compartir video,5 stars
sahi,5 stars
,4 stars
,4 stars
mamá jajaja,5 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
gracias ayer vi terminator jaja broma pasada ia si da miedo,5 stars
yeeeeeeesss,1 star
,4 stars
wally,5 stars
