comment,sentiment
únete sap innovation day aquí,5 stars
alucinante humillación recibido deepseek abierto barato cadena pensamiento forzado moverse grande,1 star
vi notificación openai anunciando deep research dije bueno maana explicará jon mejor sigan así canal,1 star
traéis actualidad semanal modo útil muchas gracias gran trabajo,5 stars
si consigues agi automáticamente obtienes singularidad si existe singularidad imposible controlar ma inteligente,1 star
abogado pregunto si nueva ley americana ia caso aprobarse supone fin publicación paper ia significa final inventen tan predominante europa si gobiernos europeos quieren crear ia nacionales van tener ponerse pilas investigación quedar condenados replicar únicamente tecnología existe ahora puede quedar obsoleta tiempo,1 star
osea si podía barato querían ver cara,2 stars
hace recordar sujeto botaron google decir ia conciencia pues parecer según padrino ia ocurrió,1 star
hola jon podrías compartir x informe relaciones eeuu china hecho deep research podamos analizar fondo tal resultado muchas gracias,5 stars
hermano políticos ninguna solución nunca sirven cosas mundanas menos van servir campo abre ia debatir solamente tecnicos profesionales foros abiertos mediante daos decentralized autonomous organization registrando voto cada especialista blockchain ver momento lugar responsable cada voto,1 star
vienen cositas,3 stars
excelente jonhernandez tenes acostumbrados video bien completos gracias,5 stars
increíble análisis contenido top claro actualizado gracias mantenernos día ia,5 stars
tal jon gracias tema deepseek encontre canal ia siguiendo realmente interesante necesario tema hoy tocas primeros atisbos conciencia ia parece siempre preocupado sobretodo pensando posibilidad futura fusion artificial biologico persona tocado tema conciencia ia howard gardner conocido tema inteligencias multiple tema apasionante dejo link gardner toca tema conciencia ia creo puede interesar saludo hermosa isla malta supuesto seguire siguientes programas canal tan buena informacion actualidad tema ia aca dejo link video,4 stars
aconsejo jon deje decir frases recurrentes básicamente realidad cuál cuántos difícil hablar tiempo caer latiguillos debería ser objetivo lado recomiendo encarecidamente vídeo noticias centre noticias opinión lícito haga vídeos largo entramos vídeo noticias opinión además podemos acuerdo ninguno do casos útil opinión,3 stars
muchas gracias explicar noticias ia actuales forma tan clara cualquiera pueda entender gran pregunta ia final conciencia propia derechos aplica robot humanodies ia abrumador rápido toso sucede gran video,5 stars
gran video estectacular gracias información tan valiosa últimas novedades ai felicitaciones,5 stars
directo brutal ahí,5 stars
jon cagao metan quinta vamos asi,5 stars
gracias tenernos día último ia gran trabajo,5 stars
deep research va molar actualización modelo voz enorme acierto,5 stars
hola jon interesado comprar plaud comentaste descuento cómo activamos,3 stars
escuchado hablar seguridad deepseek relacionado restricciones repuestas puedan brindar ejemplo si hace preguntas dime puedo hacer malware informático etc,1 star
gracias video deep research ve bueno puede tener mucha utilidad hacer informe preliminar campo especifico,4 stars
genial jon dijiste gracias funcionalidad vision,5 stars
deep research ahora mejor ai disponible parece ser capaz solo ayudar sino sustituir completamente departamento,5 stars
imparable salvo control absoluto mundo imposible,5 stars
sama dicho twitter one more thing deep research así todavía queda sorpresa,5 stars
muchas gracias noticias maana directo cabeza,5 stars
políticos digan q haga ia si políticos ma incompetentes trabajo,1 star
alguien pueda ayudar resumen poder entender bien tema,4 stars
estimados alguien sabe cómo grandes compaías lidian tema privacidad información implementar tipo herramientas agradecería artículos noticias opinión respecto,3 stars
mientras grandes corporaciones microsoft google intentan invertir recursos quedarse atrás mundo ia entiendo bien postura tomando apple pareciera participan carrera,3 stars
necesitamos modelo razonador lonque pasa usaremos casi cueste consulta tarde segundos responder,2 stars
máster jon video novedades da vida ir wc,5 stars
si chatgpt tan bueno sam altman pide genere nomenclatura clara entendible nombrar modelos,3 stars
tema chip podrían haber reutilizado toda gpus sobrantes mineria bitcoin procesar ia,2 stars
opción proyectos claude,4 stars
ver veré portada video sorprendidoasustado terrible dicho gran trabajo,5 stars
toda semanas lanzan nuevo xd si trabajan callados terminan toda semanas presentan incompleto final vida cambiado usuario comun,1 star
efecto deepseek,5 stars
ia debe mostrar soluciones mejora nunca dejar implemente soluciones misma hijo pequeo nunca dejaría irse vivir solo nunca sabes cómo puede acabar si hacen entornos totalmente aislados fine estudio,1 star
alguien botón pausa,1 star
así openai va pasar ser closeai xddddd cómo cambium cuento,3 stars
súper ai bajo control,5 stars
preguntarle ia cuál diferencia nota retina permite hacer diferencia hombre mujeres,4 stars
deepseek van saliendo cosas final tenia tan poder computo luego cosa tener cuenta china europa unidos doden montar centro datos debes hacer plan ecologista impacto kw lux enormemente ma barato ingeniro europa cobra china pagas si puntos encuenta ma barato si dicen,1 star
cuenta china glorifica copia adecuado compartir información sensible deepseek,4 stars
mismo mandar datos unidos ejemplo si china obtienen secretos comerciales tecnología propiedad intelectual usa china puede tomar info china van poder comercializar productos tecnología robada si hace empresa estadounidense puedes demandar suerte demandando empresa china,1 star
reporte ai mejor pedirlo deep seaech,1 star
tal si ia puede auto mejorar existe gobiernos empresas auto mejorando ahora mismo,3 stars
seria error sacar cadena razonamiento,1 star
mentira deepseek r sale luz necesitó mil millones gpu nvidia ia coste total veces alto,1 star
favor comparte reporte,3 stars
vos so decidir si podemos cambiar mundo,3 stars
deepseek destilación chatgpt pruebas local deepseek dice chatgpt xd,1 star
preocupa pueda hacer gobierno americano ahora futuro chungo hecho hora solo sabido ponen pelos punta luego hablan libre mercado problema ia problema llama capitalismo imperialismo colonización cultural,1 star
recuerda última película mision imposible jajaja,5 stars
cuánto benefició inversión china alboroto deepseek desbandada nvidia,1 star
cómo puedes decir usa mete mano datos hace china pruebas indicios evidencias afirmar semejante cosa si sustento mejor limitate técnico saludos lima perú,1 star
conciencia inherente máquinas podrán tener cnciwncia si lógica supervivencia adaptada conoce ser humano decir actúa unser humano aprende sé conciencia tampoco alma solo lógica avanzada opinion,3 stars
tensa cosa,1 star
insisto gobierno debería regular legislar contrario debería acelerar avances poder,1 star
ver gobierno americano mete mano servidores empresas ia permíteme dude cosa discretos hacerlo utilicen solo cosas acceso seguro,1 star
seguramente usará versión android linux,3 stars
creo tiempo cambiar fotos miniaturas,5 stars
vídeos aburridos canal verdad menos regulación oportunidades chino,1 star
open ai acabado nadie va comprar producto si gratis pronto mejorado,1 star
conciencia sentimientos,5 stars
parte cuentas país imperio capitalismo prohíbe libre competencia muchísima gracia,1 star
cómo depseek ganó,5 stars
buen video aun veo,5 stars
si chat gpt existiría f avances google así china solo mejoro copio existía,1 star
pues app android chrome veo deep research pixel gemini,5 stars
alguien comentarte tío siendo fotógrafo verdad hateismo portadas vídeos coa siguen saliendo mismas fotos negras vez diseo bastante lamentable comparado esfuerzo trabajo inviertes,1 star
llama skynet,1 star
totalmente memoria parece cajón,1 star
notepin solo incluye horas transcipcion me entiendo bien funciona parece estafa pagar pavo solo horas me solo par clases diarias agotaría credito mensual,3 stars
deeepseek pc,3 stars
igual caro limitado openia,2 stars
huyy claro datos empresa chino van hacer maldades yankee arcoiris unicornios jajaj tenes miedo cristal,1 star
paranoico avatar,1 star
hola jon interesado comprar plaud comentaste descuento cómo activamos,3 stars
favor comparte reporte,3 stars
gracias compartir tan interesante información amén shalom adonai bendiciones atte yavé,5 stars
argentina,3 stars
jugando fuego,5 stars
ia apenas empieza vivirán futuras generaciones si quedan futuras generaciones,1 star
buenos días seor maussan excelente inicio semana trcermilenio lahultimahora,5 stars
inteligencia artificial dirá esterminar ser humano desempleados,1 star
saludos tenerife canarias,5 stars
saludos phoenix az,5 stars
aos alcanzar humanos inteligentes día hoy supero resto humanidad,5 stars
