comment,sentiment
buen video proxmas generaciones futuro podran varias cosas hacer dia dia cuidar mundo,5 stars
excelente explicación gracias,5 stars
explicó madres,1 star
estupendo,5 stars
excelente video,5 stars
buenisimo,5 stars
hermoso video,5 stars
voz parece robot persona robot intenta controlar,1 star
gusta voz,5 stars
jaja humano vanidad piensa cerebro complejo universo,1 star
solo dar gracia gran vídeo clara mente foco atención,5 stars
irónico pesar diciendo vamos terminar peor ganado aplaudimos extasiamos cada noticia avance tecnología tal vez merezcamos futuro viene pues bien merecido tendriamos,1 star
información tan espectacular disfruto video suben aprendizaje precisamente empresa implementando portafolio inteligencia artificial sector logística sectores,5 stars
basada reglas adolescente asistencia contextual especialista analista razonadora algoritmo aprendizaje profundo agi general equiparable humano asi supera inteligencia humana consciente existencial trascendente conciencia colectiva cósmica relación universal divina,4 stars
tremendo video profético dice escritura bíblica jesucristo ciencia aumenté vendrá fin tiempos gram tribulación humanidad cristo jesús vive viene pueblo luego ésto vendrán ayes humanidad,5 stars
excelente video bien dirigido informativo hagan in video emoresa byd crecimiento facetas vebta auto parte hacer baterias paneles solares energias renovables crecimiento bolsa valores vision crecimiento varias gigafactorias,5 stars
vídeo excelente inteligencia artificial seres humanos promueven incursionan vidas ser humano científicos servicio poderosos multimillonarios demás sólo esperaremos disfrutar ésa tecnología creada seres humanos,5 stars
apocalipsis bestia permitió darle vida imagen creado,5 stars
ia deidad cumplira absolutamente deseos virtualmente,5 stars
hombre destruye mismo así escrito nunca superarán creador falta amor verdadero armoniza,5 stars
ia indetenible si hacen harán,1 star
entientes sabios entenderan conocimiento aumentara perdera fe persevere fin serum salvo escrito hace mile millones yr,1 star
duda religion tantas persona escrito tantos aos razon tendran,1 star
solo muestra claramente capaces seres humanos si unieran toda potencias innovación impresionante,5 stars
egoísmo avaricia predomina terminó empatía amor humanos,1 star
gran interesante video felicitaciones,5 stars
sólo digo ia esperan muchas sorpresas unas buenas muchísimas malas,1 star
inteligencia artificial puede parecer ofrecer mejor avances jamás pensamiento emocional pensamiento espiritual humanidad alma seres divinos,5 stars
interesante puedo ver va comienzo ayudarnos muchomuchomucho cualquier manera creo tan fácil agradable cómo sé hombre quieren controlardominar tener poder cómo siempre momento futuro comienzo fin humedad vamos vivir epoca lemuria atlantes hombre capacitad intelectual muymuy altapero significa inteligentes inteligencia hablo propriadad ninguno hombrees energía relación equilibrium universos difícil decir exactamente desearía decir claramente falta palabras precisas espaol idioma materna aprendiendo maravillosa idioma gracias,4 stars
abrieron caja pandora quieren poder menos piensen descontrolara,1 star
verdad día quedaremos trabajo viviremos renta básica mensual queda momento lamentablemente,1 star
